sm12-1	https://assets.tcgdex.net/en/sm/sm12/1	1	Venusaur & Snivy GX
sm115-1	https://assets.tcgdex.net/en/sm/sm115/1	1	Caterpie
hgss4-1	https://assets.tcgdex.net/en/hgss/hgss4/1	1	Aggron
hgss1-1	https://assets.tcgdex.net/en/hgss/hgss1/1	1	Arcanine
hgss3-1	https://assets.tcgdex.net/en/hgss/hgss3/1	1	Bellossom
hgss2-1	https://assets.tcgdex.net/en/hgss/hgss2/1	1	Jirachi
sm1-1	https://assets.tcgdex.net/en/sm/sm1/1	1	Caterpie
sm9-1	https://assets.tcgdex.net/en/sm/sm9/1	1	Celebi & Venusaur GX
sm10-1	https://assets.tcgdex.net/en/sm/sm10/1	1	Pheromosa & Buzzwole GX
det1-1	https://assets.tcgdex.net/en/sm/det1/1	1	Bulbasaur
sm3-1	https://assets.tcgdex.net/en/sm/sm3/1	1	Caterpie
sm7-1	https://assets.tcgdex.net/en/sm/sm7/1	1	Bellsprout
sm5-1	https://assets.tcgdex.net/en/sm/sm5/1	1	Exeggcute
dv1-1	https://assets.tcgdex.net/en/bw/dv1/1	1	Dratini
sv04-001	https://assets.tcgdex.net/en/sv/sv04/001	001	Surskit
bw7-1	https://assets.tcgdex.net/en/bw/bw7/1	1	Oddish
bw5-1	https://assets.tcgdex.net/en/bw/bw5/1	1	Bulbasaur
bw3-1	https://assets.tcgdex.net/en/bw/bw3/1	1	Sewaddle
bw9-1	https://assets.tcgdex.net/en/bw/bw9/1	1	Weedle
bw4-1	https://assets.tcgdex.net/en/bw/bw4/1	1	Pinsir
bw8-1	https://assets.tcgdex.net/en/bw/bw8/1	1	Turtwig
bw10-1	https://assets.tcgdex.net/en/bw/bw10/1	1	Surskit
bw11-1	https://assets.tcgdex.net/en/bw/bw11/1	1	Tangela
bw1-1	https://assets.tcgdex.net/en/bw/bw1/1	1	Snivy
sv02-001	https://assets.tcgdex.net/en/sv/sv02/001	001	Hoppip
bw6-1	https://assets.tcgdex.net/en/bw/bw6/1	1	Hoppip
sv06-001	https://assets.tcgdex.net/en/sv/sv06/001	001	Tangela
sv10-001	https://assets.tcgdex.net/en/sv/sv10/001	001	Ethan's Pinsir
sv08-001	https://assets.tcgdex.net/en/sv/sv08/001	001	Exeggcute
svp-001	https://assets.tcgdex.net/en/sv/svp/001	001	Sprigatito
sv03.5-001	https://assets.tcgdex.net/en/sv/sv03.5/001	001	Bulbasaur
bw2-1	https://assets.tcgdex.net/en/bw/bw2/1	1	Pansage
sv03-001	https://assets.tcgdex.net/en/sv/sv03/001	001	Oddish
dp3-1	https://assets.tcgdex.net/en/dp/dp3/1	1	Ampharos
dp2-1	https://assets.tcgdex.net/en/dp/dp2/1	1	Aggron
sv06.5-001	https://assets.tcgdex.net/en/sv/sv06.5/001	001	Joltik
dp5-1	https://assets.tcgdex.net/en/dp/dp5/1	1	Articuno
sv04.5-001	https://assets.tcgdex.net/en/sv/sv04.5/001	001	Pineco
dp1-1	https://assets.tcgdex.net/en/dp/dp1/1	1	Dialga
sv10.5w-001	https://assets.tcgdex.net/en/sv/sv10.5w/001	001	Sewaddle
